current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_end_hand_score_advantage,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken,num_nearby_opponent_cards,discard_danger
1.0,1,1,6.0,0.0,0.0,41.0,2.0,1.0,3.0,1.0,9.0,3.0,5.0,3.0,25.0,1.0,0.0,0.5106250281767178
0.0,0,0,-6.0,0.0,0.0,67.0,5.0,0.0,0.0,3.0,41.0,3.0,7.0,1.0,10.0,2.0,0.0,0.2926887247643822
1.0,1,1,6.0,0.0,0.0,36.0,4.0,1.0,3.0,2.0,17.0,3.0,5.0,2.0,15.0,3.0,0.0,0.3891550399012117
0.0,0,0,-6.0,0.0,0.0,64.0,7.0,0.0,0.0,4.0,53.0,3.0,7.0,0.0,0.0,4.0,0.0,0.15844442516615997
1.0,1,1,6.0,0.0,0.0,30.0,4.0,1.0,3.0,2.0,17.0,3.0,3.0,1.0,7.0,5.0,0.0,0.6532296731692823
0.0,0,0,-6.0,0.0,0.0,38.0,5.0,1.0,24.0,2.0,23.0,3.0,7.0,1.0,7.0,6.0,0.0,0.4208075178112487
1.0,1,1,6.0,0.0,0.0,30.0,4.0,1.0,3.0,2.0,17.0,3.0,3.0,1.0,7.0,7.0,0.0,0.15958243619417814
0.0,0,0,-6.0,0.0,0.0,38.0,5.0,1.0,24.0,2.0,23.0,3.0,7.0,1.0,7.0,8.0,0.0,0.3029215587931684
1.0,1,1,6.0,0.0,0.0,11.0,1.0,1.0,15.0,0.0,0.0,3.0,3.0,1.0,4.0,9.0,0.0,0.4502376043619293
0.0,0,0,-6.0,0.0,0.0,17.0,2.0,2.0,42.0,0.0,0.0,3.0,7.0,1.0,6.0,10.0,0.0,0.1068928435497111
1.0,1,1,6.0,0.0,0.0,11.0,1.0,1.0,15.0,0.0,0.0,3.0,3.0,1.0,4.0,11.0,0.0,0.10183760347050592
0.0,0,0,-6.0,0.0,0.0,14.0,2.0,2.0,42.0,0.0,0.0,3.0,6.0,1.0,4.0,12.0,0.0,0.3757032694068652
1.0,1,1,6.0,0.0,0.0,11.0,1.0,2.0,18.0,0.0,0.0,3.0,3.0,1.0,4.0,13.0,0.0,0.2608016949515358
0.0,0,0,-6.0,0.0,0.0,14.0,2.0,2.0,42.0,0.0,0.0,3.0,6.0,1.0,4.0,14.0,1.0,0.075030120759183
1.0,1,1,6.0,0.0,0.0,11.0,1.0,2.0,18.0,0.0,0.0,3.0,3.0,1.0,4.0,15.0,0.0,0.10181587101169622
0.0,0,0,-6.0,0.0,0.0,12.0,5.0,2.0,42.0,2.0,9.0,3.0,5.0,0.0,0.0,16.0,1.0,0.3262013918570141
1.0,1,1,6.0,0.0,0.0,6.0,1.0,2.0,25.0,0.0,0.0,3.0,3.0,0.0,0.0,17.0,1.0,0.3913073489387566
0.0,1,0,8.0,0.0,6.0,67.0,6.0,0.0,0.0,3.0,33.0,3.0,5.0,4.0,33.0,1.0,0.0,0.1714600207913236
1.0,0,1,-8.0,6.0,0.0,31.0,5.0,1.0,30.0,2.0,16.0,3.0,3.0,1.0,6.0,2.0,0.0,0.2785318951883181
0.0,1,0,8.0,0.0,6.0,67.0,8.0,0.0,0.0,4.0,53.0,3.0,5.0,2.0,13.0,3.0,0.0,0.3774137472749483
1.0,0,1,-8.0,6.0,0.0,31.0,5.0,1.0,30.0,2.0,16.0,3.0,3.0,1.0,6.0,4.0,0.0,0.5688550354638191
0.0,1,0,8.0,0.0,6.0,37.0,7.0,1.0,30.0,3.0,33.0,3.0,5.0,1.0,3.0,5.0,0.0,0.06790757022534949
1.0,0,1,-8.0,6.0,0.0,28.0,6.0,1.0,30.0,2.0,11.0,3.0,3.0,1.0,8.0,6.0,0.0,0.0
0.0,1,0,8.0,0.0,6.0,32.0,8.0,1.0,30.0,4.0,29.0,3.0,5.0,0.0,0.0,7.0,0.0,0.08014160590466694
1.0,0,1,-8.0,6.0,0.0,28.0,6.0,1.0,30.0,2.0,11.0,3.0,3.0,1.0,8.0,8.0,0.0,0.0
0.0,1,0,8.0,0.0,6.0,26.0,7.0,1.0,30.0,4.0,17.0,4.0,6.0,1.0,7.0,9.0,0.0,0.5483707777589184
1.0,0,1,-8.0,6.0,0.0,24.0,6.0,1.0,30.0,2.0,11.0,3.0,3.0,1.0,4.0,10.0,0.0,0.13255917465092965
0.0,1,0,8.0,0.0,6.0,26.0,7.0,1.0,30.0,4.0,17.0,4.0,6.0,1.0,7.0,11.0,0.0,0.07205630305495457
1.0,0,1,-8.0,6.0,0.0,21.0,6.0,1.0,30.0,2.0,6.0,4.0,6.0,2.0,9.0,12.0,0.0,0.11606969216328726
0.0,1,0,8.0,0.0,6.0,24.0,7.0,1.0,30.0,4.0,17.0,4.0,6.0,1.0,5.0,13.0,0.0,0.07778501405197527
1.0,0,1,-8.0,6.0,0.0,13.0,5.0,2.0,30.0,1.0,6.0,2.0,6.0,1.0,4.0,14.0,0.0,0.45311037995303977
0.0,1,0,8.0,0.0,6.0,14.0,6.0,2.0,33.0,3.0,15.0,3.0,7.0,0.0,0.0,15.0,0.0,0.23178426065946423
