player,turn,deadwood,score,opp_score,hand_result,match_result
0,1,53,0,0,-16,0
1,2,32,0,0,16,1
0,3,53,0,0,-16,0
1,4,32,0,0,16,1
0,5,53,0,0,-16,0
1,6,32,0,0,16,1
0,7,44,0,0,-16,0
1,8,30,0,0,16,1
0,9,44,0,0,-16,0
1,10,27,0,0,16,1
1,1,60,16,0,19,1
0,2,39,0,16,-19,0
1,3,60,16,0,19,1
0,4,39,0,16,-19,0
1,5,56,16,0,19,1
0,6,39,0,16,-19,0
1,7,36,16,0,19,1
0,8,39,0,16,-19,0
1,9,30,16,0,19,1
0,10,40,0,16,-19,0
1,11,30,16,0,19,1
0,12,35,0,16,-19,0
1,13,25,16,0,19,1
0,14,35,0,16,-19,0
1,15,20,16,0,19,1
0,1,74,0,35,30,0
1,2,58,35,0,-30,1
0,3,74,0,35,30,0
1,4,58,35,0,-30,1
0,5,69,0,35,30,0
1,6,58,35,0,-30,1
0,7,63,0,35,30,0
1,8,55,35,0,-30,1
0,9,66,0,35,30,0
1,10,31,35,0,-30,1
0,11,31,0,35,30,0
1,12,31,35,0,-30,1
0,13,35,0,35,30,0
1,14,26,35,0,-30,1
0,15,13,0,35,30,0
1,16,20,35,0,-30,1
0,17,13,0,35,30,0
1,18,20,35,0,-30,1
0,19,6,0,35,30,0
1,20,20,35,0,-30,1
0,21,6,0,35,30,0
1,22,19,35,0,-30,1
0,23,6,0,35,30,0
1,24,17,35,0,-30,1
1,1,84,35,30,17,1
0,2,59,30,35,-17,0
1,3,84,35,30,17,1
0,4,59,30,35,-17,0
1,5,54,35,30,17,1
0,6,53,30,35,-17,0
1,7,46,35,30,17,1
0,8,47,30,35,-17,0
1,9,36,35,30,17,1
0,10,42,30,35,-17,0
1,11,34,35,30,17,1
0,12,20,30,35,-17,0
1,13,13,35,30,17,1
0,1,65,30,52,27,0
1,2,57,52,30,-27,1
0,3,65,30,52,27,0
1,4,57,52,30,-27,1
0,5,65,30,52,27,0
1,6,53,52,30,-27,1
0,7,62,30,52,27,0
1,8,48,52,30,-27,1
0,9,62,30,52,27,0
1,10,33,52,30,-27,1
0,11,37,30,52,27,0
1,12,28,52,30,-27,1
0,13,35,30,52,27,0
1,14,27,52,30,-27,1
0,15,33,30,52,27,0
1,16,20,52,30,-27,1
0,17,36,30,52,27,0
1,18,20,52,30,-27,1
0,19,28,30,52,27,0
1,20,20,52,30,-27,1
0,21,12,30,52,27,0
1,22,20,52,30,-27,1
0,23,12,30,52,27,0
1,24,20,52,30,-27,1
1,1,46,52,57,27,1
0,2,40,57,52,-27,0
1,3,46,52,57,27,1
0,4,40,57,52,-27,0
1,5,44,52,57,27,1
0,6,40,57,52,-27,0
1,7,15,52,57,27,1
0,1,65,57,79,-9,0
1,2,56,79,57,9,1
0,3,65,57,79,-9,0
1,4,56,79,57,9,1
0,5,65,57,79,-9,0
1,6,43,79,57,9,1
0,7,37,57,79,-9,0
1,8,36,79,57,9,1
