current_player,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,is_current_player_hand_winner,is_current_player_game_winner
1,0,0,34,4,1,1
0,0,0,71,7,0,0
1,0,0,34,4,1,1
1,0,0,40,6,1,1
1,0,0,30,6,1,1
0,0,0,71,7,0,0
0,0,0,81,10,0,0
0,0,0,71,8,0,0
1,0,0,30,6,1,1
1,0,0,31,6,1,1
1,0,0,22,5,1,1
0,0,0,71,8,0,0
0,0,0,81,8,0,0
0,0,0,71,7,0,0
1,0,0,22,5,1,1
1,0,0,27,6,1,1
1,0,0,18,6,1,1
0,0,0,71,7,0,0
0,0,0,75,7,0,0
0,0,0,65,7,0,0
1,0,0,18,6,1,1
1,0,0,23,9,1,1
1,0,0,17,6,1,1
0,0,0,65,6,0,0
0,0,0,50,5,0,0
0,0,0,40,3,0,0
1,0,0,17,6,1,1
1,0,0,21,6,1,1
1,0,0,15,5,1,1
0,0,0,40,3,0,0
0,0,0,44,5,0,0
0,0,0,34,5,0,0
1,0,0,15,5,1,1
1,0,0,17,5,1,1
1,0,0,12,3,1,1
0,0,0,34,4,0,0
0,0,0,30,3,0,0
0,0,0,20,3,0,0
1,0,0,12,3,1,1
1,0,0,15,3,1,1
1,0,0,10,3,1,1
1,0,0,10,3,1,1
0,0,10,64,2,0,0
1,10,0,23,5,1,1
0,0,10,64,2,0,0
0,0,10,71,3,0,0
0,0,10,61,3,0,0
1,10,0,23,5,1,1
1,10,0,24,5,1,1
1,10,0,14,3,1,1
0,0,10,61,3,0,0
0,0,10,66,5,0,0
0,0,10,56,5,0,0
1,10,0,14,3,1,1
1,10,0,23,3,1,1
1,10,0,13,3,1,1
0,0,10,56,5,0,0
0,0,10,47,5,0,0
0,0,10,37,5,0,0
1,10,0,13,3,1,1
1,10,0,23,3,1,1
1,10,0,13,3,1,1
0,0,10,37,5,0,0
0,0,10,36,4,0,0
0,0,10,27,3,0,0
1,10,0,13,3,1,1
1,10,0,19,3,1,1
1,10,0,10,3,1,1
1,10,0,10,3,1,1
1,20,0,62,8,1,1
1,20,0,34,6,1,1
1,20,0,24,6,1,1
0,0,20,57,3,0,0
0,0,20,37,3,0,0
0,0,20,27,3,0,0
1,20,0,24,6,1,1
1,20,0,34,6,1,1
1,20,0,24,6,1,1
0,0,20,27,3,0,0
0,0,20,30,3,0,0
0,0,20,21,3,0,0
1,20,0,24,6,1,1
1,20,0,15,6,1,1
1,20,0,8,6,1,1
1,20,0,8,6,1,1
0,0,33,76,6,0,0
1,33,0,42,4,1,1
0,0,33,76,6,0,0
0,0,33,86,11,0,0
0,0,33,76,6,0,0
1,33,0,42,4,1,1
1,33,0,52,4,1,1
1,33,0,42,4,1,1
0,0,33,76,6,0,0
0,0,33,78,6,0,0
0,0,33,68,6,0,0
1,33,0,42,4,1,1
1,33,0,49,8,1,1
1,33,0,39,8,1,1
0,0,33,68,6,0,0
0,0,33,50,5,0,0
0,0,33,40,3,0,0
1,33,0,39,8,1,1
1,33,0,41,10,1,1
1,33,0,33,6,1,1
0,0,33,40,3,0,0
0,0,33,41,3,0,0
0,0,33,31,3,0,0
1,33,0,33,6,1,1
1,33,0,41,7,1,1
1,33,0,33,6,1,1
0,0,33,31,3,0,0
0,0,33,33,5,0,0
0,0,33,26,5,0,0
1,33,0,33,5,1,1
1,33,0,19,5,1,1
1,33,0,11,5,1,1
0,0,33,26,5,0,0
0,0,33,26,4,0,0
0,0,33,20,2,0,0
1,33,0,11,5,1,1
1,33,0,17,6,1,1
1,33,0,12,5,1,1
0,0,33,20,2,0,0
0,0,33,30,2,0,0
0,0,33,20,2,0,0
1,33,0,12,5,1,1
1,33,0,22,5,1,1
1,33,0,12,5,1,1
0,0,33,20,2,0,0
0,0,33,26,4,0,0
0,0,33,20,2,0,0
1,33,0,12,5,1,1
1,33,0,15,6,1,1
1,33,0,9,6,1,1
1,33,0,9,6,1,1
1,44,0,72,4,1,1
1,44,0,58,4,1,1
1,44,0,48,4,1,1
0,0,44,69,4,0,0
0,0,44,76,4,0,0
0,0,44,66,2,0,0
1,44,0,48,4,1,1
1,44,0,58,6,1,1
1,44,0,48,4,1,1
0,0,44,66,2,0,0
0,0,44,69,4,0,0
0,0,44,59,4,0,0
1,44,0,48,4,1,1
1,44,0,53,6,1,1
1,44,0,43,6,1,1
0,0,44,59,4,0,0
0,0,44,62,8,0,0
0,0,44,52,8,0,0
1,44,0,43,6,1,1
1,44,0,33,4,1,1
1,44,0,23,4,1,1
0,0,44,52,8,0,0
0,0,44,62,10,0,0
0,0,44,52,8,0,0
1,44,0,23,4,1,1
1,44,0,33,4,1,1
1,44,0,23,4,1,1
0,0,44,52,8,0,0
0,0,44,62,8,0,0
0,0,44,52,8,0,0
1,44,0,23,4,1,1
1,44,0,32,5,1,1
1,44,0,23,4,1,1
0,0,44,52,8,0,0
0,0,44,53,9,0,0
0,0,44,43,9,0,0
1,44,0,23,4,1,1
1,44,0,32,6,1,1
1,44,0,23,4,1,1
0,0,44,43,9,0,0
0,0,44,49,13,0,0
0,0,44,41,9,0,0
1,44,0,23,4,1,1
1,44,0,28,4,1,1
1,44,0,19,4,1,1
0,0,44,41,9,0,0
0,0,44,51,9,0,0
0,0,44,41,9,0,0
1,44,0,19,4,1,1
1,44,0,29,4,1,1
1,44,0,19,4,1,1
0,0,44,41,9,0,0
0,0,44,29,8,0,0
0,0,44,21,8,0,0
1,44,0,19,3,1,1
1,44,0,6,4,1,1
1,44,0,3,2,1,1
1,44,0,3,2,1,1
0,0,62,53,8,1,0
1,62,0,60,6,0,1
0,0,62,53,8,1,0
0,0,62,63,10,1,0
0,0,62,53,6,1,0
1,62,0,60,6,0,1
1,62,0,67,6,0,1
1,62,0,57,4,0,1
0,0,62,53,6,1,0
0,0,62,33,5,1,0
0,0,62,23,5,1,0
1,62,0,57,4,0,1
1,62,0,59,6,0,1
1,62,0,49,6,0,1
0,0,62,23,5,1,0
0,0,62,33,5,1,0
0,0,62,23,5,1,0
1,62,0,49,6,0,1
1,62,0,58,10,0,1
1,62,0,49,8,0,1
0,0,62,23,5,1,0
0,0,62,30,7,1,0
0,0,62,20,7,1,0
1,62,0,49,8,0,1
1,62,0,59,8,0,1
1,62,0,49,8,0,1
0,0,62,20,7,1,0
0,0,62,29,7,1,0
0,0,62,20,7,1,0
1,62,0,49,8,0,1
1,62,0,55,8,0,1
1,62,0,46,6,0,1
0,0,62,20,7,1,0
0,0,62,13,7,1,0
0,0,62,6,5,1,0
0,0,62,6,5,1,0
1,62,26,45,5,0,1
0,26,62,27,6,1,0
1,62,26,45,5,0,1
1,62,26,55,5,0,1
1,62,26,45,1,0,1
0,26,62,27,6,1,0
0,26,62,30,6,1,0
0,26,62,21,4,1,0
1,62,26,45,1,0,1
1,62,26,55,3,0,1
1,62,26,45,3,0,1
0,26,62,21,4,1,0
0,26,62,22,5,1,0
0,26,62,14,3,1,0
1,62,26,45,3,0,1
1,62,26,55,3,0,1
1,62,26,45,1,0,1
0,26,62,14,3,1,0
0,26,62,24,3,1,0
0,26,62,14,3,1,0
1,62,26,45,1,0,1
1,62,26,55,1,0,1
1,62,26,45,1,0,1
0,26,62,14,3,1,0
0,26,62,24,3,1,0
0,26,62,14,3,1,0
1,62,26,45,1,0,1
1,62,26,55,2,0,1
1,62,26,45,2,0,1
0,26,62,14,3,1,0
0,26,62,23,3,1,0
0,26,62,14,3,1,0
1,62,26,45,2,0,1
1,62,26,51,3,0,1
1,62,26,41,2,0,1
0,26,62,14,3,1,0
0,26,62,20,3,1,0
0,26,62,12,3,1,0
1,62,26,41,2,0,1
1,62,26,44,2,0,1
1,62,26,34,2,0,1
0,26,62,12,3,1,0
0,26,62,18,5,1,0
0,26,62,12,3,1,0
1,62,26,34,2,0,1
1,62,26,38,2,0,1
1,62,26,29,2,0,1
0,26,62,12,3,1,0
0,26,62,22,3,1,0
0,26,62,12,3,1,0
1,62,26,29,2,0,1
1,62,26,30,4,0,1
1,62,26,23,3,0,1
0,26,62,12,3,1,0
0,26,62,16,3,1,0
0,26,62,10,3,1,0
0,26,62,10,3,1,0
0,34,62,76,2,0,0
0,34,62,56,2,0,0
0,34,62,46,1,0,0
1,62,34,42,2,1,1
1,62,34,23,4,1,1
1,62,34,13,4,1,1
0,34,62,46,1,0,0
0,34,62,47,3,0,0
0,34,62,37,3,0,0
1,62,34,13,3,1,1
1,62,34,13,3,1,1
1,62,34,5,3,1,1
1,62,34,5,3,1,1
1,86,34,54,7,0,1
0,34,86,67,7,1,0
0,34,86,47,7,1,0
0,34,86,37,7,1,0
1,86,34,54,7,0,1
1,86,34,64,9,0,1
1,86,34,54,6,0,1
0,34,86,37,7,1,0
