current_player_score,opponent_score,current_player_deadwood,current_player_num_options,is_current_player_hand_winner,is_current_player_game_winner
0,0,27,0,1.0,0
26,0,47,10,1.0,0
47,0,38,2,0.0,0
47,3,45,2,0.0,0
47,27,17,2,1.0,0
79,27,69,8,0.0,0
79,77,68,7,1.0,0
93,77,51,6,0.0,0
93,84,74,7,0.0,0
0,0,49,4,0.0,0
0,25,68,4,0.0,0
0,80,67,4,0.0,0
0,0,51,4,0.0,0
0,22,78,6,0.0,0
0,30,75,10,0.0,0
0,46,74,8,1.0,0
36,46,65,9,0.0,0
36,64,60,3,0.0,0
36,70,45,4,0.0,0
36,96,60,6,1.0,0
38,96,72,5,0.5,0
38,96,75,6,1.0,0
43,96,62,10,0.0,0
0,0,65,5,1.0,0
9,0,60,9,1.0,0
20,0,42,5,1.0,0
25,0,48,1,1.0,0
39,0,46,5,1.0,0
66,0,50,3,0.0,0
66,18,68,3,0.0,0
66,61,42,1,0.0,0
66,79,70,8,0.0,0
0,0,86,11,1.0,0
27,0,46,1,0.0,0
27,33,74,10,0.0,0
27,65,70,6,0.0,0
27,83,14,3,1.0,0
35,83,64,8,1.0,0
54,83,63,6,0.0,0
0,0,74,11,0.0,1
0,7,75,7,0.0,1
0,12,59,6,0.0,1
0,25,45,5,1.0,1
47,25,38,3,1.0,1
73,25,77,9,0.0,1
73,27,76,8,1.0,1
98,27,79,9,1.0,1
0,0,80,8,1.0,1
12,0,41,6,1.0,1
52,0,70,6,0.0,1
52,38,59,13,1.0,1
54,38,61,7,1.0,1
66,38,74,10,1.0,1
75,38,62,11,1.0,1
82,38,57,9,0.0,1
82,55,43,1,0.0,1
82,61,40,5,1.0,1
0,0,65,12,0.0,1
0,37,63,8,0.0,1
0,39,40,5,1.0,1
20,39,41,3,1.0,1
28,39,39,0,1.0,1
54,39,83,6,0.0,1
54,50,26,2,1.0,1
0,0,63,7,1.0,1
6,0,41,4,1.0,1
32,0,78,9,0.0,1
32,10,42,3,1.0,1
33,10,61,8,0.0,1
33,15,59,6,1.0,1
66,15,48,1,1.0,1
79,15,43,3,1.0,1
0,0,60,11,0.0,0
0,44,85,8,0.0,0
0,66,65,7,0.0,0
0,0,73,7,1.0,0
10,0,64,6,0.0,0
10,5,44,3,1.0,0
11,5,39,4,0.0,0
11,8,68,5,0.0,0
11,43,46,6,1.0,0
53,43,73,8,0.0,0
53,59,65,9,0.5,0
53,59,68,7,0.0,0
53,83,39,3,0.0,0
0,0,75,9,1.0,1
12,0,50,6,1.0,1
20,0,65,7,0.0,1
20,21,58,7,0.0,1
20,56,28,0,1.0,1
38,56,49,5,0.0,1
38,85,67,6,1.0,1
46,85,48,4,1.0,1
72,85,70,8,0.0,1
72,90,42,5,1.0,1
0,0,68,3,1.0,0
17,0,66,8,0.0,0
17,10,53,4,1.0,0
33,10,83,11,1.0,0
38,10,75,6,0.0,0
38,19,30,5,0.0,0
38,21,74,10,1.0,0
44,21,52,4,0.0,0
44,57,42,2,1.0,0
57,57,81,6,0.0,0
57,61,62,7,0.0,0
57,69,36,3,0.0,0
57,85,53,4,0.0,0
57,97,67,8,1.0,0
60,97,34,2,0.0,0
0,0,40,5,1.0,0
6,0,63,6,1.0,0
8,0,34,5,0.0,0
8,9,54,1,0.0,0
8,46,52,7,0.0,0
8,50,44,3,0.0,0
8,63,32,7,1.0,0
27,63,48,2,1.0,0
49,63,80,9,1.0,0
60,63,38,4,0.0,0
60,89,50,6,0.0,0
60,99,20,0,0.0,0
0,0,55,8,0.0,1
0,22,67,8,1.0,1
25,22,30,4,1.0,1
42,22,64,6,0.0,1
42,48,53,8,1.0,1
50,48,55,5,0.0,1
50,61,76,9,1.0,1
95,61,80,11,0.0,1
95,63,51,8,1.0,1
0,0,63,7,0.0,1
0,2,53,7,1.0,1
17,2,51,4,1.0,1
29,2,48,8,0.0,1
29,8,66,7,1.0,1
49,8,83,9,0.0,1
49,17,48,4,1.0,1
51,17,53,7,0.0,1
51,33,74,13,0.0,1
51,40,65,7,0.0,1
51,61,60,6,1.0,1
59,61,62,8,0.0,1
59,76,49,2,0.0,1
59,82,10,2,1.0,1
0,0,47,6,0.0,1
0,2,51,0,0.0,1
0,9,55,6,1.0,1
29,9,70,10,0.0,1
29,34,55,9,1.0,1
35,34,39,3,0.0,1
35,50,71,10,0.0,1
35,52,35,0,0.0,1
35,55,23,1,1.0,1
64,55,62,6,1.0,1
80,55,56,5,0.0,1
80,61,41,6,1.0,1
0,0,42,4,0.0,1
0,10,72,7,1.0,1
6,10,50,3,1.0,1
15,10,55,4,1.0,1
26,10,69,11,1.0,1
51,10,68,5,1.0,1
59,10,73,9,0.0,1
59,24,47,12,1.0,1
93,24,64,8,0.0,1
93,74,72,3,1.0,1
0,0,68,5,1.0,0
9,0,53,4,1.0,0
13,0,65,6,0.0,0
13,13,46,2,1.0,0
24,13,39,2,1.0,0
25,13,43,8,0.0,0
25,24,64,5,1.0,0
